serialno,sporder,wagp,occp,rac1p,fhisp
2013000038966,2,0,,6,0
2013000038966,3,0,,6,0
2013000039618,1,3600,2310,1,0
2013000039618,2,57000,5600,6,0
2013000039618,3,,,9,0
2013000039657,1,51000,5000,1,0
2013000039657,2,23900,3630,1,0
2013000040063,1,80000,2630,1,0
2013000040063,2,53000,800,1,0
2013000040443,1,15000,800,6,0
2013000040443,2,80000,850,6,0
2013000040443,3,,,6,0
2013000040443,4,70000,4820,6,0
2013000040737,1,61000,5700,6,0
2013000040737,2,0,,6,0
2013000040774,1,0,,1,0
2013000040774,2,0,,1,0
2013000040982,1,30000,5400,1,0
2013000040982,2,0,4030,1,0
2013000041232,1,75000,4965,1,0
2013000041232,2,,,1,0
2013000041232,3,,,1,0
2013000041232,4,25000,4760,1,0
2013000041479,1,0,,6,0
2013000041827,1,33000,4000,1,0
2013000041827,2,80000,1007,1,0
2013000042291,1,740,4760,1,0
2013000042684,1,0,,6,1
2013000042684,2,0,,6,1
2013000042684,3,13000,4720,8,0
2013000042902,1,0,,2,0
2013000042958,1,170000,1020,1,0
2013000043623,1,200,2540,1,0
2013000043623,2,,,1,0
2013000043623,3,,,1,0
2013000045213,1,32000,4040,1,0
2013000045268,1,0,410,2,0
2013000045475,1,171000,10,1,0
2013000045475,2,30000,5260,1,0
2013000047428,1,0,,2,0
2013000047658,1,40000,4220,1,0
2013000047658,2,12300,4230,1,0
2013000047658,3,12000,850,1,0
2013000048010,1,14000,4400,6,0
2013000048010,2,0,,6,0
2013000048010,3,20000,330,6,0
2013000048010,4,,,6,0
2013000049010,1,32000,710,6,0
2013000049299,1,57000,3420,6,0
2013000049299,2,40000,5160,6,0
2013000049299,3,0,5400,6,0
2013000049648,1,35000,2860,9,0
2013000049648,2,0,9610,1,0
2013000049648,3,,,1,0
2013000050651,1,70000,2200,1,0
2013000051087,1,30000,710,6,0
2013000051087,2,125000,2100,6,0
2013000051314,1,0,4840,2,0
2013000051743,1,150000,120,1,0
2013000051743,2,68000,5630,1,0
2013000052136,1,63000,630,1,0
2013000052136,2,60000,3400,1,0
2013000052483,1,130000,1010,6,0
2013000052483,2,50000,8965,1,0
2013000052483,3,80000,735,1,0
2013000053193,1,0,2400,1,0
2013000053193,2,0,,1,0
2013000053302,1,100000,2825,1,0
2013000053302,2,180000,120,1,0
2013000053302,3,,,1,0
2013000053302,4,,,1,0
2013000053512,1,114000,2920,1,0
2013000053512,2,50000,110,8,0
2013000053898,1,0,,1,0
2013000053898,2,0,800,1,0
2013000054032,1,130000,2100,6,0
2013000054032,2,421000,4700,6,0
2013000054032,3,,,6,0
2013000054617,1,26400,2010,1,0
2013000054617,2,80000,3150,1,1
2013000054808,1,112000,1020,1,0
2013000054872,1,72000,5000,6,0
2013000054872,2,24000,5610,6,0
2013000054872,3,38000,430,6,0
2013000054872,4,0,,6,0
2013000054872,5,0,,6,0
2013000055490,1,0,,6,0
2013000055540,1,0,,1,0
2013000057265,1,0,710,1,0
2013000057265,2,0,,1,0
2013000058830,1,0,8600,1,0
2013000058830,2,0,5610,1,0
2013000060364,1,0,7750,1,1
2013000060364,2,25000,3640,1,0
2013000060743,1,421000,2630,1,0
2013000060743,2,1200,2320,1,0
2013000060743,3,,,1,0
2013000060743,4,,,1,0
2013000060964,1,183000,710,1,0
2013000060964,2,,,1,0
2013000060997,1,11500,735,1,0
2013000060997,2,90000,630,6,0
2013000062084,1,0,,2,0
2013000062608,1,100000,4840,1,0
2013000062608,2,86000,4710,1,0
2013000067123,1,25000,4220,1,0
2013000067342,1,84000,4010,8,0
2013000067368,1,0,5110,1,0
2013000067368,2,150000,4840,1,0
2013000067368,3,,,1,0
2013000067368,4,,,1,0
2013000067512,1,223000,136,1,0
2013000067687,1,0,,6,1
2013000067687,2,0,9920,6,1
2013000067687,3,0,,6,1
2013000067687,4,0,4600,6,1
2013000067978,1,30000,4760,1,0
2013000067978,2,55000,2630,1,0
2013000067978,3,19000,5240,1,0
2013000067978,4,5000,4040,9,0
2013000068002,1,87000,800,1,0
2013000068002,2,84000,800,6,0
2013000068316,1,0,,1,0
2013000068783,1,115000,850,1,0
2013000068783,2,0,520,1,0
2013000068783,3,0,1650,1,0
2013000069009,1,140000,1650,1,0
2013000069045,1,,,8,0
2013000069793,1,18000,5000,2,0
2013000069882,1,6000,4110,1,0
2013000069882,2,0,6420,1,0
2013000070232,1,0,,1,0
2013000070232,2,0,,1,0
2013000071024,1,75000,2310,9,0
2013000071103,1,0,,1,0
2013000071140,1,115000,735,1,0
2013000071140,2,75000,850,1,0
2013000071142,1,33000,800,6,0
2013000071142,2,24000,4700,6,0
2013000071142,3,22000,4140,6,0
2013000071142,4,22000,4030,6,0
2013000071507,1,2000,4060,2,0
2013000071507,2,16000,5700,2,0
2013000071507,3,6800,5620,2,0
2013000071507,4,0,9620,2,0
2013000071507,5,0,,2,0
2013000072110,1,0,4600,8,0
2013000072110,2,,,8,0
2013000072128,1,0,,1,0
2013000072128,2,0,,1,0
2013000072292,1,0,,6,0
2013000072581,1,0,4850,6,0
2013000072581,2,30000,3640,6,0
2013000072581,3,,,6,0
2013000072581,4,,,6,0
2013000072581,5,0,,6,0
2013000072581,6,9600,4020,6,0
2013000073019,1,78000,565,6,0
2013000073019,2,78000,3255,6,0
2013000073019,3,0,,6,0
2013000073019,4,,,6,0
2013000073019,5,,,6,0
2013000073019,6,0,,6,0
2013000073019,7,0,4720,6,0
2013000073019,8,0,,6,0
2013000073615,1,25000,5000,9,0
2013000073819,1,0,,1,0
2013000073819,2,29000,6420,1,0
2013000073819,3,0,9920,1,0
2013000073819,4,,,1,0
2013000073819,5,,,1,0
2013000073819,6,12000,4230,1,0
2013000073819,7,6400,4720,1,0
2013000074938,1,60000,7220,2,1
2013000074938,2,0,,1,1
2013000077130,1,245000,10,1,0
2013000077130,2,0,,1,0
2013000077130,3,,,1,0
2013000077130,4,,,1,0
2013000078017,1,0,,9,0
2013000079120,1,0,,6,0
2013000079428,1,95000,4760,1,0
2013000079428,2,0,,1,0
2013000079428,3,35000,9120,1,1
2013000079428,4,77000,2750,1,0
2013000079523,1,150000,1020,1,0
2013000079523,2,64000,2825,1,0
2013000079523,3,,,1,0
2013000079523,4,,,1,0
2013000079580,1,119000,1020,6,0
2013000079580,2,1100,5620,6,0
2013000079580,3,,,6,0
2013000080046,1,0,9920,2,0
2013000080660,1,150000,800,2,0
2013000080660,2,0,3930,2,0
2013000080675,1,0,,6,0
2013000080675,2,41000,5940,6,0
2013000080675,3,24000,5850,6,0
2013000081115,1,0,4710,6,0
2013000081115,2,0,4710,6,0
2013000081232,1,0,,2,0
2013000081292,1,70000,4700,1,0
2013000081292,2,70000,1300,1,0
2013000081842,1,25000,2850,1,0
2013000081842,2,67000,5240,9,0
2013000083037,1,25000,3255,1,0
2013000083037,2,54000,800,1,0
2013000083037,3,,,1,0
2013000083308,1,200,9620,1,1
2013000083818,1,421000,10,1,0
2013000083818,2,0,,1,0
2013000083818,3,,,1,0
2013000083818,4,,,1,0
2013000083818,5,,,1,0
2013000083867,1,0,,6,1
2013000083867,2,0,,6,1
2013000084015,1,125000,1965,1,0
2013000084015,2,109000,2100,9,0
2013000084015,3,,,9,0
2013000084015,4,,,9,0
2013000084484,1,26000,5240,6,0
2013000084484,2,20000,4610,6,0
2013000084484,3,0,9920,6,0
2013000084484,4,38000,5240,6,0
2013000084750,1,0,2630,1,0
