serialno,bld,rntp,ybl
2014000332476,8,2200,7
2014000332629,4,1600,1
2014000333013,5,1000,1
2014000334640,8,1800,1
2014000335528,6,780,1
2014000335620,9,1700,1
2014000336069,2,2100,1
2014000336547,5,3000,5
2014000339233,4,2100,8
2014000341578,6,1800,8
2014000341747,4,3100,1
2014000343446,5,910,4
2014000343495,5,3000,5
2014000345322,6,2000,1
2014000345815,5,800,1
2014000347672,6,900,1
2014000350994,4,3000,1
2014000356287,8,1800,1
2014000359002,2,2500,1
2014000360883,2,3300,1
2014000360979,4,350,1
2014000361551,9,270,1
2014000361667,3,2900,1
2014000361766,5,3700,1
2014000361884,3,1200,5
2014000362415,4,2700,1
2014000364100,8,1600,1
2014000367575,9,2600,4
2014000368292,5,1200,4
2014000368640,9,1500,2
2014000369307,2,970,1
2014000370262,9,380,9
2014000370597,5,1500,5
2014000371038,4,2400,1
2014000372266,5,700,1
2014000374276,6,70,1
2014000376209,5,1400,1
2014000376423,6,2800,4
2014000377146,9,700,6
2014000379977,9,410,1
2014000380478,6,2000,1
2014000381237,9,1100,1
2014000385648,9,2600,6
2014000385924,5,2100,1
2014000388013,9,3100,6
2014000389656,8,2800,1
2014000393595,9,1400,1
2014000396215,5,3100,7
2014000396498,8,3700,4
2014000397401,9,1800,7
2014000397641,8,720,1
2014000398214,5,1600,1
2014000398517,5,1800,5
2014000400735,9,1400,1
2014000400987,8,220,1
2014000401282,6,2000,1
2014000403505,8,1800,1
2014000403670,9,3200,3
2014000403722,6,1500,4
2014000404202,5,1600,4
2014000404317,8,1500,1
2014000409489,8,1300,3
2014000410658,4,3000,1
2014000411317,9,560,6
2014000412233,5,1900,6
2014000412827,5,2500,2
2014000414030,4,1400,2
2014000417044,9,1500,7
2014000417235,6,1900,1
2014000417685,8,870,1
2014000418235,5,1400,1
2014000418317,2,3700,2
2014000419339,4,1200,2
2014000420666,3,800,1
2014000422279,5,2000,1
2014000422311,6,1100,1
2014000424032,6,900,5
2014000424035,5,1100,6
2014000425849,9,220,14
2014000425991,9,1200,7
2014000426005,4,430,9
2014000426211,9,2500,1
2014000426480,3,1500,2
2014000427670,9,2400,2
2014000427875,6,2000,1
2014000428239,9,2000,3
2014000428600,5,3700,1
2014000429181,6,1500,4
2014000430265,6,1000,1
2014000430292,4,1000,2
2014000434666,4,740,1
2014000436373,9,280,6
2014000437458,4,3700,5
2014000437543,3,2600,1
2014000441447,6,1600,1
2014000441965,9,1200,5
2014000442042,3,1900,1
2014000443271,4,920,1
2014000443569,6,610,1
2014000445458,8,1400,2
2014000445530,6,1500,4
2014000446535,3,1100,2
2014000447844,9,1000,5
2014000449140,8,1000,1
2014000449472,8,1100,1
2014000449848,5,2400,5
2014000450942,9,830,15
2014000451961,6,1400,1
2014000452094,4,2900,1
2014000455467,5,1200,5
2014000455805,9,600,7
2014000455995,5,2300,1
2014000456163,2,1400,2
2014000456828,9,2700,7
2014000456913,8,1600,4
2014000457802,5,650,1
2014000458392,9,1200,6
2014000458875,5,2800,1
2014000459548,9,870,4
2014000460280,8,580,17
2014000462444,8,1900,5
2014000463529,6,500,1
2014000465697,8,3100,10
2014000466266,4,2200,1
2014000466561,4,2800,1
2014000467633,2,1800,1
2014000467747,2,1500,1
2014000467880,9,370,1
2014000468132,9,220,8
2014000468490,4,1800,1
2014000468574,3,1300,1
2014000469454,5,2700,1
2014000469494,6,2000,2
2014000469778,8,1200,1
2014000470400,6,1500,1
2014000470716,5,820,12
2014000472626,4,1400,2
2014000472935,5,1100,5
2014000474163,5,1900,4
2014000476333,4,2800,1
2014000477040,8,230,4
2014000478610,6,1900,5
2014000478984,5,1300,1
2014000481674,8,3100,1
2014000481912,5,2000,6
2014000482209,8,1900,8
2014000482679,6,1500,2
2014000483362,8,1600,1
2014000483652,5,1700,1
2014000484961,4,2800,1
2014000487887,3,820,1
2014000489238,5,980,2
2014000489651,8,3100,4
2014000490656,4,870,2
2014000491323,6,2000,1
2014000491920,9,3100,4
2014000492234,5,1100,1
2014000492634,8,2300,1
2014000493752,5,1400,3
2014000495214,9,260,2
2014000495839,4,1800,1
2014000495900,5,1500,2
2014000496783,5,2000,1
2014000497412,9,430,6
2014000498406,5,2100,1
2014000498701,8,1200,5
2014000498771,8,940,1
2014000499094,8,2200,4
2014000500470,9,1400,6
2014000501372,6,1700,5
2014000501814,3,2800,1
2014000502077,6,3100,1
2014000502608,9,1500,3
2014000503252,3,1900,1
2014000503530,8,1000,6
2014000504463,6,3200,5
2014000505901,6,1800,1
2014000506758,4,2800,4
2014000507082,2,1100,6
2014000507171,6,2400,3
2014000507658,2,1500,1
2014000508025,2,1800,4
2014000508755,5,2900,4
2014000509722,6,2800,5
2014000510156,2,3100,1
2014000510504,3,2500,4
2014000510574,8,2000,6
2014000510826,3,1900,1
2014000510827,4,900,1
2014000510970,5,2400,5
2014000511448,2,2800,1
2014000512975,2,2200,1
2014000513343,8,1000,5
2014000513504,5,1400,4
2014000514047,9,130,13
2014000514786,8,1200,1
2014000516711,3,2000,2
2014000517239,6,1200,1
2014000518197,9,3700,1
2014000518544,3,1800,6
2014000519396,9,1500,6
2014000519658,3,3100,1
2014000520051,5,1100,3
2014000520247,5,2000,1
2014000520857,4,2500,1
2014000521004,5,1800,1
2014000521319,5,1600,1
2014000521981,9,380,1
2014000522502,6,1600,4
2014000523146,3,3700,1
2014000523755,6,190,4
2014000523766,3,3700,4
2014000524794,8,1500,1
2014000524920,9,2100,5
2014000526330,2,3100,1
2014000527222,8,2500,8
2014000527445,9,3700,12
2014000530060,6,2800,1
2014000530615,4,2200,1
2014000530797,6,1300,1
2014000533556,9,900,1
2014000533634,2,1400,1
2014000534711,4,1800,4
2014000534842,8,3200,1
2014000537131,9,1000,1
2014000537332,6,1700,4
2014000538499,8,2000,1
2014000539191,4,1200,1
2014000539362,6,1300,6
2014000540134,2,1800,1
2014000540270,5,1500,5
2014000542215,9,400,1
2014000543979,5,800,5
2014000546389,6,1900,1
2014000548068,9,530,7
2014000550176,8,1200,3
2014000550246,6,1600,4
2014000551156,9,1500,2
2014000553630,5,3400,1
2014000553702,5,1500,1
2014000554358,6,3200,9
2014000556340,9,3700,7
2014000556493,2,3400,3
2014000556887,5,1900,7
2014000556970,3,2400,3
2014000558055,8,230,1
2014000559152,9,3700,12
2014000559259,8,2400,2
2014000560758,9,3300,6
2014000561926,5,2200,1
2014000562131,2,2000,1
2014000563285,3,2600,1
2014000563382,8,870,2
2014000563414,9,2500,7
2014000565097,6,1100,2
2014000565298,6,1000,4
2014000566912,9,900,6
2014000568221,8,420,1
2014000571188,6,3700,4
2014000571278,6,400,1
2014000571783,3,1500,4
2014000572044,6,2100,1
2014000572049,5,1400,1
2014000576050,9,1000,13
2014000576264,3,2400,6
2014000578576,2,1200,1
2014000579356,8,650,1
2014000580080,5,1900,4
2014000580356,8,650,1
2014000583467,4,2100,2
2014000583573,6,1900,1
2014000584044,8,3300,9
2014000586179,4,1100,1
2014000586555,6,2500,1
2014000588052,3,1800,2
2014000588538,5,3700,1
2014000589995,8,1700,8
2014000590386,4,2200,1
2014000590471,8,2200,1
2014000591313,2,3000,4
2014000592182,8,1300,3
2014000596554,9,1200,1
2014000598850,4,1500,1
2014000599547,5,1800,6
2014000599824,8,300,2
2014000600089,9,260,13
2014000601228,6,1600,1
2014000601250,8,950,1
2014000604304,5,1000,1
2014000605108,9,1300,12
2014000605945,5,2600,2
2014000606012,8,1400,1
2014000606360,9,1500,1
2014000607609,2,1800,3
2014000608730,8,2600,7
2014000609172,5,1200,1
2014000611469,6,2500,5
2014000611571,2,770,1
2014000611797,3,1500,1
2014000614061,8,590,1
2014000616402,4,1500,1
2014000617667,9,220,4
2014000618619,6,1700,1
2014000618654,9,270,4
2014000618910,9,500,1
2014000619515,9,2800,10
2014000620547,4,1800,5
2014000620692,2,1500,1
2014000622851,9,250,4
2014000626537,4,1700,1
2014000628763,9,1800,1
2014000629082,2,3300,1
2014000629393,3,3700,1
2014000630080,5,1400,2
2014000630230,9,700,14
2014000631925,4,1100,1
2014000632170,6,1700,1
2014000632600,9,290,5
2014000632690,3,2200,7
2014000633435,5,3200,2
2014000633562,9,270,1
2014000634026,5,1000,3
2014000635754,5,1200,8
2014000635958,8,2300,1
2014000637095,3,3700,1
2014000638472,8,1100,1
2014000639719,8,1800,1
2014000639823,6,2400,1
2014000640792,2,1100,4
2014000641032,4,1600,2
2014000641677,6,910,1
2014000641975,2,3700,3
2014000642586,8,990,1
2014000643218,6,2300,1
2014000643906,9,1600,2
2014000645046,3,500,2
2014000645350,4,2300,1
2014000645654,5,2000,1
2014000646116,9,440,8
2014000646976,6,600,1
2014000648823,5,1200,6
2014000650691,2,2400,4
2014000650703,6,1700,5
2014000651138,6,1200,1
2014000652725,6,3300,7
2014000653502,9,2700,9
2014000654133,4,1900,1
2014000654495,5,1300,1
2014000654605,5,2600,1
2014000655369,8,3700,1
2014000655746,8,1900,1
2014000655922,5,3700,8
2014000656063,6,1600,1
2014000656760,9,1300,1
2014000656813,9,230,1
2014000658258,8,940,1
2014000658788,4,1000,1
2014000659665,5,1100,1
2014000660131,4,1500,1
2014000660557,8,3200,1
2014000660872,3,3700,1
2014000662065,8,3100,6
2014000662713,9,610,1
2014000663973,5,1200,6
2014000665150,5,2500,1
2014000665178,9,720,1
2014000665750,4,1700,1
2014000667174,8,490,8
2014000667974,9,1000,1
2014000668032,5,630,1
2014000672011,4,1500,1
2014000673497,5,350,1
2014000673949,8,470,1
2014000674285,2,200,7
2014000675073,8,290,7
2014000676165,5,1700,3
2014000676521,8,890,2
2014000677121,8,2700,6
2014000677927,9,260,5
2014000678359,8,850,1
2014000679789,9,1300,1
2014000680670,6,1100,1
2014000681236,5,1200,10
2014000681612,2,3000,2
2014000683762,4,1200,7
2014000684009,6,2300,5
2014000685502,6,1700,1
2014000685694,6,3700,1
2014000685805,6,1200,4
2014000686170,6,980,1
2014000687766,8,240,5
2014000687939,3,400,6
2014000687951,4,800,3
2014000691626,9,240,4
2014000691728,8,940,1
2014000694453,8,260,2
2014000695199,8,1900,4
2014000695384,4,2800,1
2014000696323,4,2500,6
2014000696379,4,1100,6
2014000697205,6,1200,1
2014000697499,6,1700,5
2014000698167,9,250,1
2014000699585,4,3000,5
2014000699924,9,3700,6
2014000700518,9,1300,5
2014000703634,8,220,3
2014000704723,2,800,2
2014000705464,9,500,1
2014000705814,9,1400,5
2014000705955,9,130,1
2014000706511,8,1000,1
2014000707451,9,2000,7
2014000708849,8,480,5
2014000710003,6,250,1
2014000710115,9,200,4
2014000711080,2,3700,3
2014000711502,6,3100,1
2014000712617,9,2200,1
2014000712662,8,2700,7
2014000712726,6,1000,3
2014000712853,6,480,3
2014000714605,5,1400,4
2014000717353,8,700,1
2014000717536,3,2100,2
2014000719540,9,1000,1
2014000720864,8,1000,1
2014000721659,6,620,1
2014000723288,6,420,4
2014000724828,9,280,1
2014000725108,2,1200,1
2014000727107,2,3000,2
2014000727517,3,980,15
2014000729513,5,2100,5
2014000732655,5,1500,1
2014000734008,9,200,1
2014000734795,4,800,3
2014000734812,2,2200,1
2014000737534,8,630,1
2014000737639,5,1800,5
2014000738208,2,2000,3
2014000739113,2,2600,1
2014000742147,9,290,1
2014000742242,5,600,1
2014000742577,6,1700,1
2014000744490,4,2200,1
2014000745837,3,1200,4
2014000747991,2,1200,3
2014000748610,9,1600,1
2014000749813,3,1800,2
2014000750075,3,1500,1
2014000750218,8,3200,11
2014000752179,8,600,1
2014000753139,8,2000,1
2014000753712,2,1400,1
2014000753740,4,1100,1
2014000754336,5,1700,2
2014000755446,9,400,13
2014000756468,9,1900,7
2014000756969,9,1000,7
2014000757024,6,1700,1
2014000757500,5,410,2
2014000758335,9,1700,1
2014000758653,8,1400,7
2014000759848,8,1700,1
2014000760822,5,1700,6
2014000763895,6,2100,2
2014000764302,9,1500,7
2014000764625,8,520,1
2014000764848,4,2100,1
2014000765640,5,2000,1
2014000766250,3,1200,4
2014000766767,9,1600,6
2014000769060,6,2300,1
2014000770428,8,1000,1
2014000770577,6,2000,1
2014000776628,2,1100,3
2014000777103,8,1000,1
2014000777201,4,2600,1
2014000777470,8,3700,16
2014000779317,4,2700,1
2014000780643,5,1900,4
2014000780644,4,2000,1
2014000781092,8,3000,3
2014000782082,6,1300,1
2014000783064,8,2000,5
2014000783404,8,300,5
2014000784660,6,1900,3
2014000786131,9,260,4
2014000786708,8,2000,1
2014000787484,5,2600,1
2014000788156,2,2500,1
2014000788550,8,1600,5
2014000788770,6,2100,1
2014000789328,3,1000,3
2014000789561,5,780,1
2014000790000,4,1700,7
2014000790455,5,3700,4
2014000794013,8,1500,1
2014000794190,9,1200,1
2014000794675,5,1700,4
2014000794858,6,2300,1
2014000795624,5,1700,5
2014000796522,5,1900,6
2014000797045,3,1700,2
2014000797509,5,840,1
2014000798482,8,1300,1
2014000798707,8,800,1
2014000798786,9,2600,6
2014000798929,3,2500,1
2014000799879,9,1600,4
2014000799927,9,1600,1
2014000801898,5,2300,1
2014000802794,8,800,8
2014000803627,2,1900,5
2014000804368,8,1400,1
2014000804511,4,2000,1
2014000804677,8,1200,1
2014000804794,6,2200,2
2014000805103,9,250,5
2014000805331,5,2800,1
2014000805721,2,1800,3
2014000807243,6,660,4
2014000809893,5,1800,1
2014000809942,8,1400,4
2014000811146,5,1500,4
2014000811429,6,880,1
2014000811985,8,560,1
2014000815658,6,2300,1
2014000815883,4,800,6
2014000816969,9,30,5
2014000817736,5,1100,14
2014000817866,8,430,1
2014000819890,6,730,1
2014000820893,9,2300,3
2014000824573,2,3300,1
2014000827070,2,1400,1
2014000828378,8,3700,8
2014000830186,8,1900,1
2014000831990,4,2100,1
2014000833783,8,1300,1
2014000834275,8,1500,3
2014000834456,6,1600,1
2014000835934,9,1700,1
2014000837629,2,2600,3
2014000838206,5,2000,4
2014000838285,8,940,4
2014000838496,9,590,1
2014000838737,8,400,4
2014000839166,5,1000,1
2014000846695,2,2500,3
2014000847897,2,1600,1
2014000848392,3,2300,1
2014000848771,4,2100,3
2014000849351,3,910,5
2014000850436,3,1000,2
2014000851622,6,600,7
2014000851774,9,430,6
2014000852065,3,1800,4
2014000853607,6,2000,4
2014000853797,4,160,5
2014000856490,3,1200,6
2014000856601,9,260,12
2014000857121,9,1100,3
2014000857260,9,750,4
2014000859910,6,920,1
2014000861168,6,1700,5
2014000861170,2,800,1
2014000861832,6,850,5
2014000862655,8,2900,11
2014000862808,6,520,5
2014000863272,5,990,1
2014000866944,4,2700,1
2014000867481,5,1200,5
2014000867536,6,1900,7
2014000868271,9,270,5
2014000869493,8,1500,1
2014000869848,2,2400,7
2014000872028,5,2200,5
2014000872672,9,740,15
2014000873539,9,990,1
2014000874436,9,370,1
2014000875228,2,400,3
2014000876148,4,1600,3
2014000876250,6,2400,1
2014000876424,2,1900,1
2014000876688,4,1600,4
2014000879621,2,2000,1
2014000880481,4,1300,1
2014000880856,5,1600,2
2014000880922,6,1200,1
2014000882808,6,2100,4
2014000884694,4,2500,2
2014000885409,4,3700,1
2014000885618,4,550,1
2014000886023,3,3700,1
2014000887660,4,3300,8
2014000888881,4,2400,2
2014000889191,8,1500,6
2014000889263,9,2700,13
2014000889363,9,750,12
2014000891142,2,1900,1
2014000892857,9,930,4
2014000896410,5,2900,1
2014000896544,5,3700,1
2014000897118,9,2300,7
2014000897154,4,2000,3
2014000897169,5,600,1
2014000897305,6,2100,7
2014000898398,4,1300,1
2014000903328,4,650,2
2014000903728,4,2100,3
2014000905168,9,560,6
2014000905423,4,1600,12
2014000907081,6,1300,4
2014000909396,8,1400,3
2014000909481,6,1600,5
2014000909482,8,620,1
2014000909865,9,320,1
2014000910209,8,3300,4
2014000911337,8,1600,1
2014000911401,2,2700,2
2014000912456,5,2500,1
2014000912799,5,1600,5
2014000914641,9,1800,7
2014000914738,5,1900,1
2014000915285,9,260,4
2014000915409,9,230,5
2014000916267,9,1000,1
2014000916427,4,1800,1
2014000918032,9,1000,3
2014000918669,5,2500,7
2014000923055,4,2500,1
2014000924490,6,2100,3
2014000924786,5,750,1
2014000925380,9,270,6
2014000926335,5,1800,4
2014000927127,2,1800,1
2014000931074,5,3100,5
2014000931741,9,2100,5
2014000932428,2,1800,3
2014000934116,6,2000,1
2014000934243,2,1700,2
2014000936618,6,600,6
2014000936648,5,730,1
2014000936673,9,250,5
2014000937672,9,3700,7
2014000937789,2,1300,5
2014000938775,4,1800,5
2014000941634,4,2000,2
2014000942087,6,1700,1
2014000942228,8,2200,1
2014000942663,8,800,4
2014000943197,5,1800,1
2014000944346,8,1300,3
2014000944586,5,1700,5
2014000946152,2,1600,1
2014000948142,4,280,8
2014000948368,8,2000,3
2014000948963,3,3200,2
2014000952839,5,790,5
2014000952888,4,2400,1
2014000954719,5,910,1
2014000956408,9,1600,3
2014000961461,5,1700,1
2014000961518,8,660,1
2014000963078,2,2300,2
2014000964892,5,2800,5
2014000968484,4,900,1
2014000968752,4,2600,1
2014000970159,8,1100,1
2014000972226,5,1400,3
2014000972433,4,1200,1
2014000973282,5,800,1
2014000974015,4,1500,2
2014000974426,5,3700,1
2014000974692,9,1700,1
2014000975082,6,2400,2
2014000976444,9,1400,5
2014000979970,4,1300,1
2014000980463,5,3400,1
2014000981386,3,40,1
2014000982435,9,1500,4
2014000984223,2,3100,1
2014000984554,3,760,5
2014000985833,8,1800,1
2014000987831,3,1300,3
2014000988127,9,3700,6
2014000989493,5,1700,1
2014000989901,9,30,4
2014000993611,5,3200,1
2014000993940,8,640,7
2014000994483,8,1500,1
2014000995183,2,800,7
2014000996319,6,1100,4
2014000996485,2,400,3
2014000998339,8,1400,4
2014000999583,5,3400,1
2014000999837,8,1700,4
2014001001240,9,180,1
2014001002231,5,3700,1
2014001003689,6,2500,3
2014001004209,8,2000,5
2014001004472,6,260,2
2014001004989,6,1700,4
2014001006075,6,3700,7
2014001008051,6,2100,5
2014001008328,9,1800,7
2014001008541,3,1000,2
2014001009505,6,1600,1
2014001010918,2,2400,1
2014001010945,9,1800,14
2014001011075,3,940,1
2014001011256,9,2700,1
2014001012979,3,210,2
2014001014668,6,1000,2
2014001014682,5,3200,1
2014001014718,8,1600,1
2014001015206,4,2000,6
2014001015227,9,1500,1
2014001015652,6,870,2
2014001016183,5,1400,4
2014001017321,5,2200,5
2014001018253,9,600,6
2014001018347,9,560,8
2014001018934,9,1800,6
2014001018973,9,660,1
2014001019489,5,3700,1
2014001019521,8,1700,1
2014001021835,2,2400,1
2014001023001,8,1000,1
2014001029547,2,2800,1
2014001030571,6,2500,4
2014001033451,4,1600,1
2014001034332,9,1100,3
2014001034711,4,800,8
2014001034901,4,1200,1
2014001036026,9,3700,7
2014001042178,5,3700,1
2014001044781,5,3000,1
2014001044948,9,700,14
2014001045537,4,440,5
2014001050777,3,1300,1
2014001052378,5,2400,8
2014001053932,8,230,7
2014001054145,5,1500,10
2014001054330,5,2700,1
2014001055136,5,880,1
2014001056161,5,750,1
2014001057115,8,830,1
2014001058446,2,1600,2
2014001058452,6,2000,4
2014001059176,2,500,1
2014001060732,8,3000,10
2014001061515,5,2000,1
2014001062153,9,2000,1
2014001063442,9,2800,5
2014001065110,9,1000,1
2014001066451,2,930,2
2014001067903,5,3700,7
2014001069670,8,990,1
2014001072137,9,2300,7
2014001072407,3,2400,1
2014001073116,3,1500,1
2014001073181,5,600,1
2014001076274,9,200,7
2014001076976,2,3700,2
2014001077074,9,280,1
2014001077320,5,2300,5
2014001077745,8,1100,6
2014001078577,9,2100,6
2014001078968,3,1900,1
2014001079165,6,2500,1
2014001079545,5,1500,1
2014001079961,8,250,4
2014001080362,3,1100,1
2014001080761,4,2600,1
2014001080894,8,1400,1
2014001081035,9,1100,1
2014001083442,4,2000,3
2014001085534,9,900,1
2014001086509,5,280,1
2014001087050,8,390,12
2014001087604,8,750,7
2014001089078,6,970,1
2014001089233,9,1000,5
2014001089517,6,1100,5
2014001090157,3,2000,2
2014001093093,2,2000,5
2014001093170,9,2600,4
2014001094189,6,2800,7
2014001094464,8,200,1
2014001094522,4,3700,3
2014001095708,4,1700,2
2014001095982,6,720,3
2014001098144,3,1500,6
2014001099364,9,3700,8
2014001099693,6,530,1
2014001099725,5,1600,5
2014001100997,4,1600,4
2014001103644,2,1400,4
2014001104232,8,900,1
2014001105219,8,500,3
2014001105619,8,2000,4
2014001105646,5,2900,4
2014001105916,6,1300,11
2014001107570,4,3700,1
2014001108296,2,1800,1
2014001109259,8,1700,1
2014001109852,6,1700,1
2014001109877,3,1900,1
2014001110057,9,2000,2
2014001110231,5,820,3
2014001110452,6,840,1
2014001111433,5,1600,3
2014001111871,9,3100,2
2014001111974,9,2000,5
2014001112672,6,1900,6
2014001113792,9,3700,8
2014001114132,8,1500,1
2014001115446,8,1500,3
2014001118161,9,850,1
2014001118355,5,570,2
2014001118664,6,2100,11
2014001118780,6,180,1
2014001120177,3,1000,4
2014001121194,8,1700,7
2014001121332,9,1400,1
2014001122416,6,1300,1
2014001124563,9,1000,7
2014001125062,9,1300,6
2014001126039,9,460,1
2014001126275,9,3100,8
2014001126664,2,1500,1
2014001129257,8,1900,1
2014001129313,5,3000,2
2014001129378,8,1100,1
2014001129929,5,1900,2
2014001130088,5,1200,3
2014001131477,6,1900,1
2014001131567,5,2700,1
2014001131569,6,1600,4
2014001132572,9,2300,7
2014001132868,5,1600,2
2014001133121,4,1800,1
2014001133439,8,3700,14
2014001134858,6,1800,1
2014001136488,4,2000,3
2014001137003,6,2900,1
2014001138023,2,600,1
2014001140300,9,140,4
2014001142141,5,1900,1
2014001143532,5,1200,2
2014001145819,9,3000,5
2014001147285,8,900,3
2014001147484,9,1500,4
2014001148948,5,2500,1
2014001149009,9,230,1
2014001149087,6,1300,4
2014001149851,4,1200,1
2014001150402,8,1200,3
2014001151967,6,1800,1
2014001152950,8,930,5
2014001154109,6,2100,5
2014001154184,4,1000,1
2014001155545,8,980,1
2014001155820,2,860,2
2014001156770,8,1200,1
2014001156810,9,1500,1
2014001157952,6,1200,1
2014001158429,4,3200,1
2014001158751,5,1500,1
2014001159990,8,2000,1
2014001160014,6,830,3
2014001160048,9,400,1
2014001161489,8,700,2
2014001162880,9,2200,3
2014001163172,9,1800,5
2014001163970,2,1000,1
2014001164846,6,2500,5
2014001165435,5,2200,1
2014001167818,9,270,13
2014001169149,4,2200,2
2014001170036,9,3700,16
2014001170285,6,1200,1
2014001171055,9,2100,7
2014001171354,4,3700,1
2014001172722,8,1000,1
2014001173552,9,260,2
2014001173858,8,3700,1
2014001174578,5,1200,1
2014001175624,8,1800,1
2014001176972,5,820,3
2014001177012,8,790,1
2014001177958,4,2500,1
2014001179189,4,3000,1
2014001179587,9,1800,8
2014001179904,5,3000,4
2014001183556,6,2300,1
2014001185163,5,1300,1
2014001186034,8,2000,5
2014001186979,5,3700,1
2014001187664,3,1400,4
2014001190789,5,3700,5
2014001191504,9,450,5
2014001192160,4,1000,1
2014001193103,4,1300,1
2014001193257,5,910,1
2014001194062,3,3300,1
2014001194216,4,2700,1
2014001194373,9,450,7
2014001194374,5,1700,4
2014001196071,2,700,5
2014001196750,9,1600,1
2014001197657,5,1100,7
2014001197950,8,2900,1
2014001198218,2,3700,1
2014001198676,6,70,3
2014001200513,9,2000,1
2014001200623,8,1800,5
2014001201107,6,2300,6
2014001204303,9,2500,6
2014001208716,9,930,1
2014001208943,5,2800,4
2014001209113,6,640,1
2014001209402,9,3300,8
2014001210654,5,2500,1
2014001210723,8,930,1
2014001211287,6,190,5
2014001211324,4,2400,3
2014001211405,8,1000,1
2014001211894,5,1800,1
2014001211958,9,680,1
2014001212483,3,2800,3
2014001212701,8,730,5
2014001215874,6,1800,1
2014001216709,4,1300,1
2014001217419,5,3700,1
2014001217497,8,1600,4
2014001217785,3,3300,5
2014001220467,8,3000,2
2014001221525,5,720,3
2014001221588,6,890,1
2014001222671,6,1400,4
2014001223359,2,2100,2
2014001223779,3,110,2
2014001226469,6,1000,1
2014001226840,6,1500,5
2014001226850,3,160,6
2014001228006,9,250,11
2014001228116,5,1200,3
2014001228230,6,2600,4
2014001229108,8,1800,9
2014001229502,2,3400,6
2014001230125,8,620,1
2014001230395,4,1100,1
2014001231025,5,1300,2
2014001234948,5,800,7
2014001236383,9,2500,4
2014001236556,2,1800,5
2014001238385,5,830,3
2014001239897,5,2400,1
2014001241685,9,1500,3
2014001243138,2,1700,1
2014001243492,6,2000,5
2014001244303,6,2900,1
2014001244381,4,3700,5
2014001245010,9,3700,16
2014001245283,9,580,1
2014001246185,6,800,4
2014001255443,9,1500,3
2014001255774,9,2400,6
2014001257075,9,700,4
2014001257644,8,250,7
2014001257715,9,880,14
2014001258889,2,1100,1
2014001259479,8,2400,5
2014001264244,9,250,6
2014001265078,9,750,1
2014001265512,9,1600,2
2014001268258,9,3700,2
2014001269269,5,2400,1
2014001269289,8,1100,4
2014001269369,9,2700,8
2014001269675,8,950,3
2014001270345,2,1300,4
2014001271907,9,400,1
2014001272402,8,1700,1
2014001272495,8,2500,1
2014001272589,2,2200,3
2014001273369,6,1800,4
2014001273434,9,2300,2
2014001274017,5,500,2
2014001275018,4,1200,1
2014001275106,2,2900,3
2014001275874,9,470,1
2014001276009,4,2800,6
2014001276293,5,1800,1
2014001277285,5,1200,1
2014001279754,3,350,5
2014001281714,5,1700,1
2014001282256,4,1000,6
2014001282399,5,2200,1
2014001282724,2,800,3
2014001283482,8,450,1
2014001287572,3,3200,6
2014001287618,8,500,11
2014001288533,5,1000,1
2014001288586,5,2200,4
2014001288859,3,600,3
2014001288912,3,390,8
2014001288984,4,3000,13
2014001290977,8,2000,1
2014001290986,8,2300,1
2014001291484,3,1900,2
2014001292150,8,3300,8
2014001292677,8,1200,1
2014001292978,5,1700,6
2014001293731,3,2700,1
2014001293842,8,600,4
2014001294351,8,2600,1
2014001294560,3,2400,1
2014001295297,6,980,3
2014001295348,8,1200,8
2014001295532,8,2500,4
2014001297346,5,1300,1
2014001300566,9,310,1
2014001300787,8,3200,4
2014001301129,4,3700,3
2014001302601,2,1100,4
2014001303736,5,2500,5
2014001304595,6,450,1
2014001304978,2,1400,1
2014001305916,3,1500,3
2014001306409,6,1600,6
2014001306899,3,1400,2
2014001308445,5,2700,7
2014001309733,6,1700,3
2014001310937,4,3700,1
2014001311350,5,2400,1
2014001311786,5,660,1
2014001314660,9,2300,1
2014001314945,9,3700,4
2014001316198,2,2500,2
2014001316927,9,1300,1
2014001317122,8,1100,4
2014001317715,8,1100,2
2014001318429,6,1900,1
2014001318856,5,1600,2
2014001319214,9,400,14
2014001320046,9,3700,8
2014001322487,3,1700,1
2014001324251,6,3300,4
2014001324366,3,2000,2
2014001326048,4,2100,2
2014001326577,4,2800,4
2014001327621,6,3300,1
2014001328464,4,2000,4
2014001328882,6,620,2
2014001329444,6,720,5
2014001329446,6,2800,1
2014001330085,2,3100,3
2014001330760,8,2000,1
2014001331159,5,340,7
2014001332130,2,3700,2
2014001332988,8,1000,4
2014001332991,5,1400,1
2014001334351,6,830,1
2014001335413,9,50,8
2014001335458,5,1300,1
2014001337014,9,250,6
2014001337685,9,3000,15
2014001338843,8,2900,6
2014001338902,2,1200,1
2014001340617,2,850,3
2014001340671,5,2500,7
2014001340928,6,1900,1
2014001341001,4,3700,2
2014001342951,5,1800,4
2014001345789,4,720,1
2014001346373,8,1500,1
2014001346566,8,3000,1
2014001346596,9,70,5
2014001347508,9,2600,4
2014001348228,9,1900,2
2014001348417,5,3700,4
2014001349012,9,830,1
2014001349371,4,2500,6
2014001349537,5,1500,1
2014001349657,8,2800,2
2014001350387,6,2500,1
2014001350396,5,1700,7
2014001351126,9,1600,5
2014001351951,9,150,1
2014001352388,9,200,1
2014001353296,5,1500,1
2014001353821,4,350,1
