fips,renter_units_2000,renters_over30_2000,pct_costburdened_2000,renter_units_2017,renters_over30_2017,pct_costburdened_2017
06075017000,1307,406,0.310635042,958,276,0.288100209
06075013500,1302,347,0.266513057,1216,351,0.288651316
06013338302,245,94,0.383673469,280,81,0.289285714
06075013300,1126,253,0.224689165,1011,293,0.289812067
06075020200,2617,838,0.320213985,2659,772,0.290334712
06075010300,1543,482,0.312378483,1490,436,0.29261745
06001430700,259,97,0.374517375,304,89,0.292763158
06075030800,403,106,0.263027295,568,168,0.295774648
06001404300,241,109,0.452282158,223,66,0.295964126
06001450502,186,65,0.349462366,250,74,0.296
06013346101,95,52,0.547368421,118,35,0.296610169
06075025200,908,310,0.341409692,849,252,0.296819788
06077005114,36,17,0.472222222,720,215,0.298611111
06001451300,391,199,0.508951407,411,123,0.299270073
06001433500,183,74,0.404371585,294,88,0.299319728
06075016900,1336,377,0.282185629,1073,322,0.300093197
06075012601,1201,350,0.291423813,1286,389,0.302488336
06013313203,345,151,0.437681159,250,76,0.304
06075025100,467,177,0.379014989,368,112,0.304347826
06075022902,543,173,0.318600368,486,148,0.304526749
06077005208,222,50,0.225225225,567,173,0.305114638
06075010900,2247,584,0.259902092,2131,651,0.30549038
06075061400,1285,402,0.312840467,1374,420,0.305676856
06075020600,1850,533,0.288108108,1609,493,0.306401492
06077005003,221,35,0.158371041,355,109,0.307042254
06075015801,1519,521,0.342988808,1232,380,0.308441558
06001443322,363,92,0.253443526,97,30,0.309278351
06075020500,913,235,0.257393209,882,275,0.311791383
06013337300,449,203,0.452115813,493,154,0.312373225
06075015200,1928,558,0.289419087,1944,608,0.312757202
06001441401,778,332,0.426735219,842,264,0.313539192
06075030101,1528,633,0.414267016,1468,465,0.316757493
06001403600,2189,825,0.376884422,2131,679,0.318629751
06075021800,794,183,0.230478589,781,249,0.318822023
06075980501,62,25,0.403225806,235,75,0.319148936
06013345116,150,49,0.326666667,122,39,0.319672131
06013355113,109,33,0.302752294,153,49,0.320261438
06001427800,1297,475,0.366229761,1253,403,0.321628093
06001442100,177,50,0.282485876,174,56,0.32183908
06013345115,201,67,0.333333333,522,168,0.32183908
06013363000,816,372,0.455882353,745,241,0.323489933
06001428302,277,95,0.342960289,618,200,0.323624595
06075018000,247,95,0.384615385,654,212,0.324159021
06075016400,1584,612,0.386363636,1430,464,0.324475524
06075017801,1139,531,0.46619842,1965,639,0.32519084
06001450102,391,129,0.329923274,513,167,0.325536062
06075020401,1128,291,0.257978723,720,236,0.327777778
06001404000,1364,430,0.315249267,1219,400,0.328137818
06077005209,131,29,0.221374046,518,170,0.328185328
06075010200,1970,661,0.335532995,1593,523,0.328311362
06075040100,1409,439,0.311568488,1432,471,0.328910615
06077004201,852,368,0.431924883,983,324,0.329603255
06001451202,130,24,0.184615385,118,39,0.330508475
06075021000,1818,612,0.336633663,1678,555,0.330750894
06013324002,1895,863,0.455408971,1546,513,0.331824062
06001404501,120,8,0.066666667,81,27,0.333333333
06001421500,312,134,0.429487179,273,91,0.333333333
06075012700,1612,447,0.277295285,1492,498,0.333780161
06075011100,2745,1062,0.386885246,2738,915,0.334185537
06001450743,655,238,0.363358779,1465,491,0.335153584
06075013101,1839,480,0.261011419,2052,688,0.335282651
06001430800,650,265,0.407692308,846,284,0.3356974
06001441524,483,119,0.246376812,551,185,0.335753176
06001450742,269,83,0.308550186,337,114,0.338278932
06075012602,1353,395,0.291943829,1343,456,0.339538347
06077004002,13,13,1,1098,373,0.339708561
06013301000,313,84,0.268370607,261,89,0.340996169
06001404101,1393,602,0.432160804,1041,357,0.342939481
06075021500,1647,470,0.285367335,1465,504,0.344027304
06001427700,1577,543,0.344324667,1463,504,0.344497608
06013321102,266,87,0.327067669,383,132,0.34464752
06001426200,238,117,0.491596639,298,103,0.345637584
06075015100,1189,427,0.359125315,1148,398,0.346689895
06075047801,951,362,0.380651945,830,288,0.346987952
06001421300,286,85,0.297202797,363,126,0.347107438
06075060700,216,99,0.458333333,3701,1287,0.347743853
06075035400,813,282,0.346863469,969,338,0.348813209
06001400400,1082,380,0.351201479,1131,395,0.349248453
06013392000,114,38,0.333333333,83,29,0.34939759
06001444602,240,54,0.225,469,164,0.349680171
06075020402,1651,427,0.258631133,1852,648,0.349892009
06001451701,156,65,0.416666667,214,75,0.35046729
06077005501,176,45,0.255681818,196,69,0.352040816
06001421600,389,104,0.267352185,389,137,0.35218509
06013303202,174,62,0.356321839,403,142,0.35235732
06075020800,2111,747,0.35386073,2346,828,0.352941176
06013352102,120,48,0.4,136,48,0.352941176
06001440335,266,81,0.304511278,966,341,0.35300207
06075016500,1908,712,0.373165618,1691,598,0.353636901
06001441301,592,240,0.405405405,585,207,0.353846154
06001444200,388,133,0.342783505,339,120,0.353982301
06001401200,794,368,0.463476071,759,269,0.354413702
06001403701,1587,630,0.396975425,1410,500,0.354609929
06013345202,1181,403,0.34123624,1261,448,0.355273592
06013333200,451,231,0.512195122,698,248,0.35530086
06075025300,1082,384,0.354898336,968,344,0.355371901
06001450101,83,27,0.325301205,1215,432,0.355555556
06077003109,934,446,0.47751606,982,350,0.356415479
06075016801,1354,458,0.338257016,1403,501,0.357091946
06077002702,339,145,0.427728614,543,194,0.357274401
06001435700,456,148,0.324561404,361,129,0.35734072
06075015600,916,256,0.279475983,1102,394,0.35753176
06001450602,737,195,0.26458616,844,303,0.359004739
06077003214,84,19,0.226190476,181,65,0.359116022
06075015400,2116,734,0.346880907,2031,730,0.359428853
06001435900,200,69,0.345,392,141,0.359693878
06075025401,770,286,0.371428571,800,288,0.36
06001441700,1085,506,0.466359447,1136,409,0.360035211
06001403800,1221,317,0.25962326,1291,466,0.360960496
06075010400,1870,639,0.34171123,1545,558,0.361165049
06075017102,1201,364,0.303080766,1074,388,0.361266294
06001404102,1138,492,0.432337434,1311,475,0.362318841
06075015700,1803,564,0.31281198,1825,663,0.363287671
06013338203,1101,342,0.310626703,1605,584,0.363862928
06075032801,590,202,0.342372881,675,246,0.364444444
06013388000,628,271,0.431528662,543,198,0.364640884
06001441503,407,101,0.248157248,510,186,0.364705882
06001433400,269,87,0.323420074,520,190,0.365384615
06001442900,641,198,0.308892356,623,228,0.365971108
06001401100,1587,686,0.43226213,1554,569,0.366151866
06075011700,971,487,0.501544799,962,354,0.367983368
06075042601,1250,387,0.3096,1350,497,0.368148148
06075030301,1141,426,0.373356705,986,363,0.368154158
06001441926,1142,397,0.347635727,1138,419,0.368189807
06075026301,321,181,0.563862928,529,195,0.368620038
06001428400,1360,487,0.358088235,1403,518,0.369208838
06001400300,1491,459,0.307847082,1385,512,0.36967509
06075032700,900,349,0.387777778,697,258,0.370157819
06001436700,251,84,0.334661355,485,180,0.371134021
06001427900,1398,429,0.306866953,1371,512,0.373450036
06001422200,907,428,0.471885336,853,319,0.373974209
06077004001,393,98,0.249363868,302,113,0.374172185
06013304003,151,59,0.390728477,302,113,0.374172185
06001442800,174,53,0.304597701,186,70,0.376344086
06001421900,625,178,0.2848,687,259,0.377001456
