FIPS,TotalPop,County,EnviroScore,EnviroPerc,SB535,Ozone,PM2.5,Diesel,Tox_Release,Traffic,Asthma,LowBirthWeight,Poverty,Hispanic,NHWhite,Black,Asian,Other
6059042329,3772,Orange ,6.287115385,5.196115525,No,0.047908481,8.69794377,8.884461952,1763.927051,432.06,22.54,2.37,12.6,10,80.7,0.8,5.8,2.7
6059042330,6378,Orange ,6.067452017,4.779921806,No,0.047908481,8.69794377,12.74700485,1671.596276,310.75,22.54,2.44,21.7,28,60,1.4,7.3,3.3
6059042331,5215,Orange ,7.241990987,6.936561988,No,0.047908481,8.69794377,10.42711362,1679.12837,281.51,22.54,4.1,11.2,18.5,69.1,0.8,7.4,4.2
6059042332,5399,Orange ,1.658280148,0.163955102,No,0.047908481,8.69794377,7.19487737,1765.565878,389.84,17.91,2.08,12.3,6.9,82.6,0.7,7.1,2.6
6059042333,4014,Orange ,9.416604433,11.89305083,No,0.049512456,8.69794377,14.91294148,2192.098893,1973.95,22.66,3.57,5.1,6.6,75.8,0.9,13,3.7
6059042334,5300,Orange ,9.101240741,11.08588725,No,0.047908481,8.69794377,16.67,2007.390585,431.17,17.7,3.29,20.7,18.8,64.4,1.1,11.3,4.4
6059042335,5829,Orange ,12.34603839,18.56476227,No,0.047908481,8.69794377,15.47556667,1972.033372,626.05,16.33,4.42,23.5,15,63.3,1.3,15.4,5.1
6059042336,4430,Orange ,4.165315257,2.106192458,No,0.047908481,8.69794377,12.10992243,1843.915706,447.91,22.54,2.88,5.6,10.3,73.9,0.9,10.5,4.4
6059042337,3639,Orange ,7.145027173,6.810442679,No,0.047908481,8.69794377,12.0871806,1537.27322,419.03,18.24,4.09,17.4,9.3,78.4,1.2,7.7,3.4
6059042338,4580,Orange ,6.728580866,6.11678648,No,0.047908481,8.69794377,5.916315823,1771.067773,365.27,29.15,3.05,12.6,9.8,83.1,0.7,3.8,2.5
6059042339,3208,Orange ,9.353101414,11.66603607,No,0.047908481,8.69794377,10.93121491,1688.712334,445.41,29.15,5,17.6,19.8,73.1,1.2,3.3,2.6
6059052408,6154,Orange ,24.62254766,49.24959011,No,0.049512456,8.69794377,22.66955961,4480.47339,541.77,28.19,5.71,15.6,12.3,71.8,1.9,10.7,3.4
